Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Linux - Chrome 95.0.4638.69,,,2022-01-25 15:42:57,2022-01-25 15:43:55,57.710s,PASSED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 95.0.4638.69,,,2022-01-25 15:43:02,2022-01-25 15:43:55,52.610s,PASSED
"openBrowser("""")",Linux - Chrome 95.0.4638.69,,,2022-01-25 15:43:03,2022-01-25 15:43:40,37.197s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 95.0.4638.69,,,2022-01-25 15:43:40,2022-01-25 15:43:41,0.850s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 95.0.4638.69,,,2022-01-25 15:43:41,2022-01-25 15:43:44,3.449s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Linux - Chrome 95.0.4638.69,,,2022-01-25 15:43:44,2022-01-25 15:43:54,9.589s,PASSED
closeBrowser(),Linux - Chrome 95.0.4638.69,,,2022-01-25 15:43:54,2022-01-25 15:43:55,0.935s,PASSED
