Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Firefox 97.0,,,2022-02-16 14:33:38,2022-02-16 14:34:48,1m - 9.329s,FAILED
,,,,,,,
Test Cases/Smart Await,Firefox 97.0,,,2022-02-16 14:33:39,2022-02-16 14:34:48,1m - 8.912s,FAILED
"openBrowser("""")",Firefox 97.0,,,2022-02-16 14:33:39,2022-02-16 14:34:42,1m - 2.460s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Firefox 97.0,,,2022-02-16 14:34:42,2022-02-16 14:34:43,0.949s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Firefox 97.0,,,2022-02-16 14:34:43,2022-02-16 14:34:45,2.313s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Firefox 97.0,,,2022-02-16 14:34:45,2022-02-16 14:34:48,2.934s,FAILED
