Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 98.0.4758.80,,,2022-02-14 16:19:14,2022-02-14 16:19:47,33.701s,PASSED
,,,,,,,
Test Cases/Smart Await,Chrome 98.0.4758.80,,,2022-02-14 16:19:16,2022-02-14 16:19:47,31.484s,PASSED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-14 16:19:17,2022-02-14 16:19:33,16.212s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Chrome 98.0.4758.80,,,2022-02-14 16:19:33,2022-02-14 16:19:38,5.143s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Chrome 98.0.4758.80,,,2022-02-14 16:19:38,2022-02-14 16:19:39,0.801s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Chrome 98.0.4758.80,,,2022-02-14 16:19:39,2022-02-14 16:19:47,7.819s,PASSED
closeBrowser(),Chrome 98.0.4758.80,,,2022-02-14 16:19:47,2022-02-14 16:19:47,0.209s,PASSED
