Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 98.0.4758.80,,,2022-02-14 15:05:44,2022-02-14 15:06:08,23.701s,PASSED
,,,,,,,
Test Cases/Smart Await,Chrome 98.0.4758.80,,,2022-02-14 15:05:49,2022-02-14 15:06:08,18.868s,PASSED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-14 15:05:49,2022-02-14 15:05:58,8.252s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Chrome 98.0.4758.80,,,2022-02-14 15:05:58,2022-02-14 15:05:59,1.597s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Chrome 98.0.4758.80,,,2022-02-14 15:05:59,2022-02-14 15:06:00,0.583s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Chrome 98.0.4758.80,,,2022-02-14 15:06:00,2022-02-14 15:06:08,7.807s,PASSED
closeBrowser(),Chrome 98.0.4758.80,,,2022-02-14 15:06:08,2022-02-14 15:06:08,0.169s,PASSED
