Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Linux - Chrome 97.0.4692.71,,,2022-01-27 18:56:48,2022-01-27 18:58:36,1m - 48.295s,FAILED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 97.0.4692.71,,,2022-01-27 18:56:53,2022-01-27 18:58:36,1m - 43.319s,FAILED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-01-27 18:56:54,2022-01-27 18:57:46,52.282s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 97.0.4692.71,,,2022-01-27 18:57:46,2022-01-27 18:57:47,0.983s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 97.0.4692.71,,,2022-01-27 18:57:47,2022-01-27 18:58:36,49.067s,FAILED
