Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Firefox 97.0,,,2022-02-16 14:14:10,2022-02-16 14:15:50,1m - 39.903s,FAILED
,,,,,,,
Test Cases/Smart Await,Firefox 97.0,,,2022-02-16 14:14:11,2022-02-16 14:15:50,1m - 39.507s,FAILED
"openBrowser("""")",Firefox 97.0,,,2022-02-16 14:14:11,2022-02-16 14:15:44,1m - 32.779s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Firefox 97.0,,,2022-02-16 14:15:44,2022-02-16 14:15:45,0.940s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Firefox 97.0,,,2022-02-16 14:15:45,2022-02-16 14:15:47,2.394s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Firefox 97.0,,,2022-02-16 14:15:47,2022-02-16 14:15:50,3.114s,FAILED
