Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 98.0.4758.54,,,2022-02-16 15:31:19,2022-02-16 15:32:16,56.811s,FAILED
,,,,,,,
Test Cases/Smart Await,Chrome 98.0.4758.54,,,2022-02-16 15:31:19,2022-02-16 15:32:16,56.426s,FAILED
"openBrowser("""")",Chrome 98.0.4758.54,,,2022-02-16 15:31:19,2022-02-16 15:32:09,49.703s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Chrome 98.0.4758.54,,,2022-02-16 15:32:09,2022-02-16 15:32:10,0.809s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Chrome 98.0.4758.54,,,2022-02-16 15:32:10,2022-02-16 15:32:12,2.237s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Chrome 98.0.4758.54,,,2022-02-16 15:32:12,2022-02-16 15:32:16,3.412s,FAILED
