Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 95.0.4638.69,,,2022-01-26 11:46:56,2022-01-26 11:51:37,4m - 40.359s,PASSED
,,,,,,,
Test Cases/Smart Await,Chrome 95.0.4638.69,,,2022-01-26 11:47:00,2022-01-26 11:51:37,4m - 36.985s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2022-01-26 11:47:00,2022-01-26 11:51:22,4m - 22.303s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Chrome 95.0.4638.69,,,2022-01-26 11:51:22,2022-01-26 11:51:23,0.910s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Chrome 95.0.4638.69,,,2022-01-26 11:51:23,2022-01-26 11:51:26,3.100s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Chrome 95.0.4638.69,,,2022-01-26 11:51:26,2022-01-26 11:51:36,9.226s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2022-01-26 11:51:36,2022-01-26 11:51:37,1.130s,PASSED
