Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 94.0.4606.61,,,2022-02-18 15:06:33,2022-02-18 15:07:57,1m - 23.954s,PASSED
,,,,,,,
Test Cases/Apply All Elements - Verify AJAX Text Present,Chrome 94.0.4606.61,,,2022-02-18 15:06:34,2022-02-18 15:07:57,1m - 23.506s,PASSED
"comment(""To enable the Smart Wait function for the whole project in Katalon Studio, navigate to Project > Settings > Execution> Select Enable in Default Smart Wait."")",Chrome 94.0.4606.61,,,2022-02-18 15:06:34,2022-02-18 15:06:34,0.080s,PASSED
"openBrowser("""")",Chrome 94.0.4606.61,,,2022-02-18 15:06:34,2022-02-18 15:07:46,1m - 11.591s,PASSED
"navigateToUrl(""https://demo.tutorialzine.com/2009/09/simple-ajax-website-jquery/demo.html"")",Chrome 94.0.4606.61,,,2022-02-18 15:07:46,2022-02-18 15:07:48,1.898s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 1""))",Chrome 94.0.4606.61,,,2022-02-18 15:07:48,2022-02-18 15:07:50,2.084s,PASSED
"verifyTextPresent(""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam feugiat neque vel metus sodales auctor sed et arcu. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Phasellus cursus tellus ac urna sollicitudin viverra."", false)",Chrome 94.0.4606.61,,,2022-02-18 15:07:50,2022-02-18 15:07:52,1.882s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 2""))",Chrome 94.0.4606.61,,,2022-02-18 15:07:52,2022-02-18 15:07:53,1.913s,PASSED
"verifyElementText(findTestObject(""Page_AjaxDemo/div_Page2_Content""), ""Aliquam imperdiet tempor facilisis. Sed elementum ultrices vulputate. In hac habitasse platea dictumst. In et accumsan turpis. Nullam laoreet posuere eros ac iaculis. Nullam ut velit arcu. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam erat volutpat."")",Chrome 94.0.4606.61,,,2022-02-18 15:07:53,2022-02-18 15:07:56,2.463s,PASSED
closeBrowser(),Chrome 94.0.4606.61,,,2022-02-18 15:07:56,2022-02-18 15:07:57,1.309s,PASSED
