Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 94.0.4606.61,,,2022-02-18 10:44:14,2022-02-18 10:50:31,6m - 17.024s,FAILED
,,,,,,,
Test Cases/Smart Await,Chrome 94.0.4606.61,,,2022-02-18 10:44:15,2022-02-18 10:48:12,3m - 57.550s,FAILED
"openBrowser("""")",Chrome 94.0.4606.61,,,2022-02-18 10:44:15,2022-02-18 10:48:05,3m - 50.223s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Chrome 94.0.4606.61,,,2022-02-18 10:48:05,2022-02-18 10:48:07,2.067s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Chrome 94.0.4606.61,,,2022-02-18 10:48:07,2022-02-18 10:48:09,2.050s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Chrome 94.0.4606.61,,,2022-02-18 10:48:09,2022-02-18 10:48:12,2.871s,FAILED
,,,,,,,
Test Cases/Apply Specific Elementsts - Verify AJAX Text Present,Chrome 94.0.4606.61,,,2022-02-18 10:48:12,2022-02-18 10:49:20,1m - 7.357s,PASSED
"comment(""If you want to use Smart Wait function for certain test elements only, it's important that you disable Default Smart Wait in Project Settings."")",Chrome 94.0.4606.61,,,2022-02-18 10:48:13,2022-02-18 10:48:13,0.017s,PASSED
"openBrowser("""")",Chrome 94.0.4606.61,,,2022-02-18 10:48:13,2022-02-18 10:49:09,56.221s,PASSED
"navigateToUrl(""https://demo.tutorialzine.com/2009/09/simple-ajax-website-jquery/demo.html"")",Chrome 94.0.4606.61,,,2022-02-18 10:49:09,2022-02-18 10:49:11,2.293s,PASSED
enableSmartWait(),Chrome 94.0.4606.61,Enable the Smart Wait function when it's disabled by default in project settings.,,2022-02-18 10:49:11,2022-02-18 10:49:11,0.017s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 1""))",Chrome 94.0.4606.61,,,2022-02-18 10:49:11,2022-02-18 10:49:13,1.971s,PASSED
"verifyTextPresent(""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam feugiat neque vel metus sodales auctor sed et arcu. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Phasellus cursus tellus ac urna sollicitudin viverra."", false)",Chrome 94.0.4606.61,,,2022-02-18 10:49:13,2022-02-18 10:49:15,2.269s,PASSED
disableSmartWait(),Chrome 94.0.4606.61,Disable the Smart Wait function when it's enabled by using the above keyword.,,2022-02-18 10:49:15,2022-02-18 10:49:15,0.025s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 2""))",Chrome 94.0.4606.61,,,2022-02-18 10:49:15,2022-02-18 10:49:17,1.632s,PASSED
"verifyElementText(findTestObject(""Page_AjaxDemo/div_Page2_Content""), ""Aliquam imperdiet tempor facilisis. Sed elementum ultrices vulputate. In hac habitasse platea dictumst. In et accumsan turpis. Nullam laoreet posuere eros ac iaculis. Nullam ut velit arcu. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam erat volutpat."")",Chrome 94.0.4606.61,"Without enableSmartWait, this step should be failed",,2022-02-18 10:49:17,2022-02-18 10:49:18,1.371s,PASSED
closeBrowser(),Chrome 94.0.4606.61,,,2022-02-18 10:49:18,2022-02-18 10:49:20,1.319s,PASSED
,,,,,,,
Test Cases/Apply All Elements - Verify AJAX Text Present,Chrome 94.0.4606.61,,,2022-02-18 10:49:20,2022-02-18 10:50:31,1m - 11.671s,PASSED
"comment(""To enable the Smart Wait function for the whole project in Katalon Studio, navigate to Project > Settings > Execution> Select Enable in Default Smart Wait."")",Chrome 94.0.4606.61,,,2022-02-18 10:49:20,2022-02-18 10:49:20,0.002s,PASSED
"openBrowser("""")",Chrome 94.0.4606.61,,,2022-02-18 10:49:20,2022-02-18 10:50:22,1m - 2.143s,PASSED
"navigateToUrl(""https://demo.tutorialzine.com/2009/09/simple-ajax-website-jquery/demo.html"")",Chrome 94.0.4606.61,,,2022-02-18 10:50:22,2022-02-18 10:50:24,2.151s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 1""))",Chrome 94.0.4606.61,,,2022-02-18 10:50:24,2022-02-18 10:50:26,1.592s,PASSED
"verifyTextPresent(""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam feugiat neque vel metus sodales auctor sed et arcu. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Phasellus cursus tellus ac urna sollicitudin viverra."", false)",Chrome 94.0.4606.61,,,2022-02-18 10:50:26,2022-02-18 10:50:27,1.271s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 2""))",Chrome 94.0.4606.61,,,2022-02-18 10:50:27,2022-02-18 10:50:29,1.752s,PASSED
"verifyElementText(findTestObject(""Page_AjaxDemo/div_Page2_Content""), ""Aliquam imperdiet tempor facilisis. Sed elementum ultrices vulputate. In hac habitasse platea dictumst. In et accumsan turpis. Nullam laoreet posuere eros ac iaculis. Nullam ut velit arcu. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam erat volutpat."")",Chrome 94.0.4606.61,,,2022-02-18 10:50:29,2022-02-18 10:50:30,1.353s,PASSED
closeBrowser(),Chrome 94.0.4606.61,,,2022-02-18 10:50:30,2022-02-18 10:50:31,1.265s,PASSED
