Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Linux - Chrome 97.0.4692.71,,,2022-01-27 19:40:14,2022-01-27 19:41:09,55.306s,PASSED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 97.0.4692.71,,,2022-01-27 19:40:19,2022-01-27 19:41:09,50.513s,PASSED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-01-27 19:40:19,2022-01-27 19:40:55,35.573s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 97.0.4692.71,,,2022-01-27 19:40:55,2022-01-27 19:40:56,1.146s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 97.0.4692.71,,,2022-01-27 19:40:56,2022-01-27 19:40:59,3.102s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Linux - Chrome 97.0.4692.71,,,2022-01-27 19:40:59,2022-01-27 19:41:08,9.198s,PASSED
closeBrowser(),Linux - Chrome 97.0.4692.71,,,2022-01-27 19:41:08,2022-01-27 19:41:09,0.750s,PASSED
