Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Linux - Chrome 95.0.4638.69,,,2022-01-24 11:57:11,2022-01-24 11:58:17,1m - 6.168s,PASSED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 95.0.4638.69,,,2022-01-24 11:57:15,2022-01-24 11:58:17,1m - 2.189s,PASSED
"openBrowser("""")",Linux - Chrome 95.0.4638.69,,,2022-01-24 11:57:15,2022-01-24 11:58:03,47.604s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 95.0.4638.69,,,2022-01-24 11:58:03,2022-01-24 11:58:04,0.837s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 95.0.4638.69,,,2022-01-24 11:58:04,2022-01-24 11:58:07,3.176s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Linux - Chrome 95.0.4638.69,,,2022-01-24 11:58:07,2022-01-24 11:58:16,9.480s,PASSED
closeBrowser(),Linux - Chrome 95.0.4638.69,,,2022-01-24 11:58:16,2022-01-24 11:58:17,0.867s,PASSED
