Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 94.0.4606.61,,,2022-02-18 14:07:42,2022-02-18 14:09:05,1m - 23.305s,PASSED
,,,,,,,
Test Cases/Apply All Elements - Verify AJAX Text Present,Chrome 94.0.4606.61,,,2022-02-18 14:07:42,2022-02-18 14:09:05,1m - 22.836s,PASSED
"comment(""To enable the Smart Wait function for the whole project in Katalon Studio, navigate to Project > Settings > Execution> Select Enable in Default Smart Wait."")",Chrome 94.0.4606.61,,,2022-02-18 14:07:42,2022-02-18 14:07:42,0.080s,PASSED
"openBrowser("""")",Chrome 94.0.4606.61,,,2022-02-18 14:07:42,2022-02-18 14:08:53,1m - 10.206s,PASSED
"navigateToUrl(""https://demo.tutorialzine.com/2009/09/simple-ajax-website-jquery/demo.html"")",Chrome 94.0.4606.61,,,2022-02-18 14:08:53,2022-02-18 14:08:55,2.340s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 1""))",Chrome 94.0.4606.61,,,2022-02-18 14:08:55,2022-02-18 14:08:57,2.199s,PASSED
"verifyTextPresent(""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam feugiat neque vel metus sodales auctor sed et arcu. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Phasellus cursus tellus ac urna sollicitudin viverra."", false)",Chrome 94.0.4606.61,,,2022-02-18 14:08:57,2022-02-18 14:08:59,2.050s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 2""))",Chrome 94.0.4606.61,,,2022-02-18 14:08:59,2022-02-18 14:09:01,2.000s,PASSED
"verifyElementText(findTestObject(""Page_AjaxDemo/div_Page2_Content""), ""Aliquam imperdiet tempor facilisis. Sed elementum ultrices vulputate. In hac habitasse platea dictumst. In et accumsan turpis. Nullam laoreet posuere eros ac iaculis. Nullam ut velit arcu. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam erat volutpat."")",Chrome 94.0.4606.61,,,2022-02-18 14:09:01,2022-02-18 14:09:03,2.251s,PASSED
closeBrowser(),Chrome 94.0.4606.61,,,2022-02-18 14:09:03,2022-02-18 14:09:05,1.448s,PASSED
