Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Edge Chromium 98,,,2022-02-17 14:44:21,2022-02-17 14:45:39,1m - 18.212s,FAILED
,,,,,,,
Test Cases/Smart Await,Edge Chromium 98,,,2022-02-17 14:44:21,2022-02-17 14:45:39,1m - 17.799s,FAILED
"openBrowser("""")",Edge Chromium 98,,,2022-02-17 14:44:21,2022-02-17 14:45:32,1m - 10.331s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Edge Chromium 98,,,2022-02-17 14:45:32,2022-02-17 14:45:34,2.135s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Edge Chromium 98,,,2022-02-17 14:45:34,2022-02-17 14:45:36,2.165s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Edge Chromium 98,,,2022-02-17 14:45:36,2022-02-17 14:45:39,2.897s,FAILED
