Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 94.0.4606.81,,,2022-02-18 14:05:25,2022-02-18 14:06:13,48.623s,PASSED
,,,,,,,
Test Cases/Apply All Elements - Verify AJAX Text Present,Chrome 94.0.4606.81,,,2022-02-18 14:05:25,2022-02-18 14:06:13,48.196s,PASSED
"comment(""To enable the Smart Wait function for the whole project in Katalon Studio, navigate to Project > Settings > Execution> Select Enable in Default Smart Wait."")",Chrome 94.0.4606.81,,,2022-02-18 14:05:25,2022-02-18 14:05:25,0.091s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2022-02-18 14:05:25,2022-02-18 14:06:00,34.146s,PASSED
"navigateToUrl(""https://demo.tutorialzine.com/2009/09/simple-ajax-website-jquery/demo.html"")",Chrome 94.0.4606.81,,,2022-02-18 14:06:00,2022-02-18 14:06:00,0.840s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 1""))",Chrome 94.0.4606.81,,,2022-02-18 14:06:00,2022-02-18 14:06:03,2.851s,PASSED
"verifyTextPresent(""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam feugiat neque vel metus sodales auctor sed et arcu. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Phasellus cursus tellus ac urna sollicitudin viverra."", false)",Chrome 94.0.4606.81,,,2022-02-18 14:06:03,2022-02-18 14:06:06,2.949s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 2""))",Chrome 94.0.4606.81,,,2022-02-18 14:06:06,2022-02-18 14:06:09,3.100s,PASSED
"verifyElementText(findTestObject(""Page_AjaxDemo/div_Page2_Content""), ""Aliquam imperdiet tempor facilisis. Sed elementum ultrices vulputate. In hac habitasse platea dictumst. In et accumsan turpis. Nullam laoreet posuere eros ac iaculis. Nullam ut velit arcu. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam erat volutpat."")",Chrome 94.0.4606.81,,,2022-02-18 14:06:09,2022-02-18 14:06:12,2.804s,PASSED
closeBrowser(),Chrome 94.0.4606.81,,,2022-02-18 14:06:12,2022-02-18 14:06:13,1.143s,PASSED
