Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 98.0.4758.102,,,2022-02-16 15:26:57,2022-02-16 15:28:04,1m - 7.768s,FAILED
,,,,,,,
Test Cases/Smart Await,Chrome 98.0.4758.102,,,2022-02-16 15:26:57,2022-02-16 15:28:04,1m - 7.418s,FAILED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-02-16 15:26:57,2022-02-16 15:27:57,59.758s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Chrome 98.0.4758.102,,,2022-02-16 15:27:57,2022-02-16 15:27:59,2.075s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Chrome 98.0.4758.102,,,2022-02-16 15:27:59,2022-02-16 15:28:01,2.228s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Chrome 98.0.4758.102,,,2022-02-16 15:28:01,2022-02-16 15:28:04,3.002s,FAILED
