Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:43:07,2022-01-24 13:49:43,6m - 35.941s,FAILED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:43:10,2022-01-24 13:44:21,1m - 10.285s,PASSED
"openBrowser("""")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:43:11,2022-01-24 13:44:06,55.436s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:44:06,2022-01-24 13:44:07,1.008s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:44:07,2022-01-24 13:44:10,3.291s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:44:10,2022-01-24 13:44:20,9.314s,PASSED
closeBrowser(),Linux - Chrome 94.0.4606.81,,,2022-01-24 13:44:20,2022-01-24 13:44:21,0.884s,PASSED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:44:21,2022-01-24 13:45:18,56.989s,PASSED
"openBrowser("""")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:44:21,2022-01-24 13:45:03,42.593s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:03,2022-01-24 13:45:04,0.836s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:04,2022-01-24 13:45:07,3.232s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:07,2022-01-24 13:45:17,9.430s,PASSED
closeBrowser(),Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:17,2022-01-24 13:45:18,0.888s,PASSED
,,,,,,,
Test Cases/Apply Specific Elementsts - Verify AJAX Text Present,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:18,2022-01-24 13:46:05,47.256s,PASSED
"comment(""If you want to use Smart Wait function for certain test elements only, it's important that you disable Default Smart Wait in Project Settings."")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:18,2022-01-24 13:45:18,0.016s,PASSED
"openBrowser("""")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:18,2022-01-24 13:45:53,35.658s,PASSED
"navigateToUrl(""https://demo.tutorialzine.com/2009/09/simple-ajax-website-jquery/demo.html"")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:53,2022-01-24 13:45:54,0.895s,PASSED
enableSmartWait(),Linux - Chrome 94.0.4606.81,Enable the Smart Wait function when it's disabled by default in project settings.,,2022-01-24 13:45:54,2022-01-24 13:45:54,0.029s,PASSED
"click(findTestObject(""Page_AjaxDemo/a_Page 1""))",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:45:54,2022-01-24 13:45:58,3.219s,PASSED
