Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Chrome 98.0.4758.80,,,2022-02-14 15:33:35,2022-02-14 15:33:54,19.401s,PASSED
,,,,,,,
Test Cases/Smart Await,Chrome 98.0.4758.80,,,2022-02-14 15:33:38,2022-02-14 15:33:54,16.104s,PASSED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-14 15:33:39,2022-02-14 15:33:43,4.125s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Chrome 98.0.4758.80,,,2022-02-14 15:33:43,2022-02-14 15:33:44,1.283s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Chrome 98.0.4758.80,,,2022-02-14 15:33:44,2022-02-14 15:33:45,1.509s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Chrome 98.0.4758.80,,,2022-02-14 15:33:45,2022-02-14 15:33:54,8.910s,PASSED
closeBrowser(),Chrome 98.0.4758.80,,,2022-02-14 15:33:54,2022-02-14 15:33:54,0.090s,PASSED
