Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:52:24,2022-01-24 13:55:23,2m - 58.987s,PASSED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:52:27,2022-01-24 13:53:14,46.296s,PASSED
"openBrowser("""")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:52:28,2022-01-24 13:52:59,31.180s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:52:59,2022-01-24 13:53:00,0.832s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:00,2022-01-24 13:53:03,3.351s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:03,2022-01-24 13:53:13,9.552s,PASSED
closeBrowser(),Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:13,2022-01-24 13:53:14,1.044s,PASSED
,,,,,,,
Test Cases/Smart Await,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:14,2022-01-24 13:53:58,44.596s,PASSED
"openBrowser("""")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:14,2022-01-24 13:53:44,30.094s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:44,2022-01-24 13:53:45,0.815s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:45,2022-01-24 13:53:48,3.222s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:48,2022-01-24 13:53:57,9.572s,PASSED
closeBrowser(),Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:57,2022-01-24 13:53:58,0.883s,PASSED
,,,,,,,
Test Cases/Apply Specific Elementsts - Verify AJAX Text Present,Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:58,2022-01-24 13:54:41,42.299s,PASSED
"comment(""If you want to use Smart Wait function for certain test elements only, it's important that you disable Default Smart Wait in Project Settings."")",Linux - Chrome 94.0.4606.81,,,2022-01-24 13:53:58,2022-01-24 13:53:58,0.016s,PASSED
