Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Firefox 97.0,,,2022-02-16 13:19:21,2022-02-16 13:21:39,2m - 17.591s,FAILED
,,,,,,,
Test Cases/Smart Await,Firefox 97.0,,,2022-02-16 13:19:21,2022-02-16 13:21:39,2m - 17.228s,FAILED
"openBrowser("""")",Firefox 97.0,,,2022-02-16 13:19:22,2022-02-16 13:21:32,2m - 10.408s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Firefox 97.0,,,2022-02-16 13:21:32,2022-02-16 13:21:33,1.043s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Firefox 97.0,,,2022-02-16 13:21:33,2022-02-16 13:21:36,2.463s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Firefox 97.0,,,2022-02-16 13:21:36,2022-02-16 13:21:39,3.046s,FAILED
