Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smart Wait Regression,Firefox 97.0,,,2022-02-16 13:07:28,2022-02-16 13:15:28,8m - 0.034s,FAILED
,,,,,,,
Test Cases/Smart Await,Firefox 97.0,,,2022-02-16 13:07:29,2022-02-16 13:15:28,7m - 59.668s,FAILED
"openBrowser("""")",Firefox 97.0,,,2022-02-16 13:07:29,2022-02-16 13:15:22,7m - 52.758s,PASSED
"navigateToUrl(""https://testcloud-smart-await.dev.katalon.com/"")",Firefox 97.0,,,2022-02-16 13:15:22,2022-02-16 13:15:23,1.043s,PASSED
"click(findTestObject(""Object Repository/Page_tc-smart-await - 1.0.0-SNAPSHOT/button_Button""))",Firefox 97.0,,,2022-02-16 13:15:23,2022-02-16 13:15:25,2.497s,PASSED
"verifyTextPresent(""Hello RESTEasy"", true)",Firefox 97.0,,,2022-02-16 13:15:25,2022-02-16 13:15:28,3.122s,FAILED
